Order Date,Year,Order Qty,Cost of Sales,Sales,Profit,Channel,Product Name,Manufacturer,Brand Name,Product Sub Category,Product Category,Region,City,Country
16-05-2019,2019,9,958.552406,2714.72,1756.167594,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,Europe,Moscow,Russia
22-04-2018,2018,4,18.62469177,50.1414,31.51670823,Store,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Moscow,Russia
10-03-2018,2018,9,205.1014552,1395.1128,1190.011345,Store,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Europe,Moscow,Russia
12-04-2020,2020,18,6.619718297,462.42,455.8002817,Store,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bellevue,United States
17-03-2019,2019,9,4.807084924,2614.4,2609.592915,Online,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China
03-06-2020,2020,24,203.3161077,7056.4,6853.083892,Online,SV Car Video TFT7 M7000 Silver,Southridge Video,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
24-10-2020,2020,10,2904.497003,6990,4085.502997,Online,Adventure Works Laptop15 M1501 Red,Adventure Works,Adventure Works,Laptops,Computers,Asia,Beijing,China
13-11-2018,2018,5,629.088247,890,260.911753,Online,Fabrikam Social Videographer 1/2'' 3mm E300 White,"Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,Asia,Beijing,China
26-02-2019,2019,13,3525.557141,3890.5,364.9428591,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China
18-09-2019,2019,30,2717.738782,8970,6252.261218,Online,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China
23-04-2018,2018,18,1194.432399,13590.478,12396.0456,Online,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Beijing,China
15-08-2019,2019,24,119.3180807,14112,13992.68192,Online,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,A. Datum,Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China
14-08-2019,2019,24,1428.24331,2302.8,874.55669,Online,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
20-10-2018,2018,10,3131.684832,2992.3,-139.3848318,Online,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
17-08-2019,2019,12,4192.576616,3590.76,-601.8166162,Online,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
09-09-2020,2020,20,24.41574753,3180,3155.584252,Online,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Asia,Beijing,China
14-01-2021,2021,26,5126.862654,5078.73,-48.13265368,Online,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
05-08-2020,2020,6,686.7855894,1776,1089.214411,Online,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
04-08-2019,2019,12,261.3854831,3552,3290.614517,Online,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
01-11-2020,2020,20,2030.949382,3120,1089.050618,Online,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Wide World Importers,Recording Pen,Audio,Asia,Beijing,China
04-02-2020,2020,26,3704.783129,3991.7505,286.967371,Online,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
18-03-2020,2020,9,2927.194097,3321,393.8059032,Online,SV Car Video LCD7 M7002 Black,Southridge Video,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
29-03-2019,2019,18,4.649298667,705.57,700.9207013,Online,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,Asia,Beijing,China
02-11-2018,2018,10,5547.73204,6990,1442.26796,Online,WWI Projector 720p LCD56 Black,Wide World Importers,Wide World Importers,Projectors & Screens,Computers,Asia,Beijing,China
09-11-2019,2019,20,2798.76815,4380,1581.23185,Online,Contoso DVD Recorder L210 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
21-02-2019,2019,13,1320.51477,2345.595,1025.08023,Online,A. Datum Bridge Digital Camera M300 Orange,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,Asia,Beijing,China
11-07-2019,2019,12,232.6797921,1159.884,927.2042079,Online,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,Asia,Beijing,China
04-04-2019,2019,36,13.63918816,2373.6,2359.960812,Online,Proseware CRT19 E201 White,"Proseware, Inc.",Proseware,Monitors,Computers,Asia,Beijing,China
07-10-2018,2018,25,300.7530323,7497.5,7196.746968,Online,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",Litware,Home Theater System,TV and Video,Asia,Beijing,China
28-10-2019,2019,10,31.85083364,1869,1837.149166,Online,A. Datum Bridge Digital Camera M300 Green,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,Asia,Beijing,China
15-02-2018,2018,6,128.0471315,735.3,607.2528685,Online,WWI LCD17W E200 White,Wide World Importers,Wide World Importers,Monitors,Computers,Asia,Beijing,China
09-04-2018,2018,4,1.946606494,215.68,213.7333935,Online,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,Asia,Beijing,China
24-03-2018,2018,9,11.18450878,3018.4,3007.215491,Store,Contoso SLR Camera M145 Blue,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,North America,Yakima,United States
29-03-2019,2019,12,947.6938813,3562.88,2615.186119,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,Europe,Cheshire,United Kingdom
08-01-2020,2020,8,32.82625733,754.8,721.9737427,Store,Proseware Photo Inkjet Printer E290 Green,"Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Europe,Cheshire,United Kingdom
