Product Name,Total Profit,%Profit Contribution,%age Cummulative Profit Contribution
Contoso Projector 1080p X980 Black,343349,0.0096,0.0096
Proseware Projector 1080p LCD86 White,337808,0.0095,0.0191
Contoso Projector 1080p X980 White,337366,0.0095,0.0286
Proseware Projector 1080p LCD86 Black,277263,0.0078,0.0364
Proseware Projector 1080p DLP86 Silver,268987,0.0076,0.044
Proseware Projector 1080p DLP86 Black,212056,0.006,0.0499
"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",208870,0.0059,0.0558
WWI Laptop19W X0196 Blue,204271,0.0057,0.0615
Fabrikam Trendsetter 2/3'' 17mm X100 Black,185393,0.0052,0.0667
Contoso Home Theater System 7.1 Channel M1700 Silver,175997,0.0049,0.0717
Contoso Projector 1080p X980 Silver,170378,0.0048,0.0765
Fabrikam Laptop19 M9000 Black,169978,0.0048,0.0813
Fabrikam Business Videographer 2/3'' 17mm M280 Black,168787,0.0047,0.086
Adventure Works Laptop19W X1980 Red,168576,0.0047,0.0907
"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",166059,0.0047,0.0954
"Fabrikam Trendsetter 2/3"" 17mm X100 Orange",163132,0.0046,0.1
Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,157707,0.0044,0.1044
Proseware Projector 1080p DLP86 White,157357,0.0044,0.1088
Fabrikam Trendsetter 1/2'' 3mm X300 Grey,152408,0.0043,0.1131
Fabrikam Trendsetter 2/3'' 17mm X100 White,149322,0.0042,0.1173
Adventure Works Desktop PC1.80 ED182 White,147914,0.0042,0.1215
Fabrikam Laptop16W M6080 Black,145691,0.0041,0.1256
Adventure Works Laptop19W X1980 Blue,143720,0.004,0.1296
"Adventure Works 42"" LCD HDTV M55 Black",136985,0.0038,0.1334
Adventure Works Desktop PC3.0 MS300 Black,135910,0.0038,0.1373
Fabrikam Trendsetter 1/2'' 3mm X300 Black,133873,0.0038,0.141
"A. Datum SLR Camera 35"" X358 Orange",129087,0.0036,0.1447
Adventure Works Desktop PC3.0 MS300 Silver,128914,0.0036,0.1483
WWI Projector 1080p DLP86 White,123514,0.0035,0.1517
WWI Laptop15 M0150 White,123165,0.0035,0.1552
Adventure Works Laptop19W X1980 White,121686,0.0034,0.1586
Contoso SLR Camera X145 Blue,116885,0.0033,0.1619
Contoso Home Theater System 7.1 Channel M1700 White,116619,0.0033,0.1652
WWI Projector 1080p LCD86 Black,116607,0.0033,0.1685
Contoso Projector 720p M620 White,115628,0.0032,0.1717
Fabrikam Independent Filmmaker 1/2'' 3mm X300 Black,114479,0.0032,0.1749
"Adventure Works 52"" LCD HDTV X590 White",114173,0.0032,0.1781
WWI Laptop19W X0196 Black,110776,0.0031,0.1813
WWI LCD24 X300 Black,108914,0.0031,0.1843
Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Black,108729,0.0031,0.1874
Fabrikam Trendsetter 1/2'' 3mm X300 White,108504,0.003,0.1904
WWI Laptop15.4W M0156 White,108291,0.003,0.1935
Fabrikam Trendsetter 1'' 25mm X400 White,107596,0.003,0.1965
A. Datum SLR Camera X135 Black,104428,0.0029,0.1994
Fabrikam Independent Filmmaker 2/3'' 17mm X100 Black,102453,0.0029,0.2023
Fabrikam Business Videographer 2/3'' 17mm M280 White,101837,0.0029,0.2052
